skill_name,count,user_id,number_of_utterances,percent(user | skill)
Riddles,85,20949,1,1.1764705882352942
Riddles,85,21061,1,1.1764705882352942
Riddles,85,21625,1,1.1764705882352942
Riddles,85,22078,9,10.588235294117647
Riddles,85,22672,1,1.1764705882352942
Riddles,85,22767,1,1.1764705882352942
Translator,118,1,1,0.847457627118644
Translator,118,31,5,4.23728813559322
Translator,118,108,1,0.847457627118644
Translator,118,116,1,0.847457627118644
Translator,118,147,1,0.847457627118644
Translator,118,253,1,0.847457627118644
Translator,118,497,9,7.627118644067797
Translator,118,1873,1,0.847457627118644
Translator,118,4255,4,3.389830508474576
Translator,118,4597,6,5.084745762711865
Translator,118,7170,2,1.694915254237288
Translator,118,9643,1,0.847457627118644
Translator,118,10045,34,28.8135593220339
Translator,118,13867,3,2.5423728813559325
Translator,118,16610,1,0.847457627118644
Translator,118,17758,11,9.322033898305085
Translator,118,18234,1,0.847457627118644
Translator,118,19220,1,0.847457627118644
Translator,118,19815,2,1.694915254237288
Translator,118,19889,1,0.847457627118644
Translator,118,20294,1,0.847457627118644
Translator,118,20357,1,0.847457627118644
Translator,118,20684,1,0.847457627118644
Translator,118,20906,1,0.847457627118644
Translator,118,21326,1,0.847457627118644
Translator,118,21397,2,1.694915254237288
Translator,118,21550,1,0.847457627118644
Translator,118,21584,1,0.847457627118644
Translator,118,21588,5,4.23728813559322
Translator,118,22068,1,0.847457627118644
Translator,118,22148,3,2.5423728813559325
Translator,118,22182,1,0.847457627118644
Translator,118,22299,1,0.847457627118644
Translator,118,22596,1,0.847457627118644
Translator,118,22631,1,0.847457627118644
Translator,118,22660,1,0.847457627118644
Translator,118,22674,1,0.847457627118644
Translator,118,22692,1,0.847457627118644
Translator,118,22700,1,0.847457627118644
Translator,118,22758,1,0.847457627118644
Translator,118,22764,1,0.847457627118644
Translator,118,22767,1,0.847457627118644
Translator,118,22799,1,0.847457627118644
Translator,118,22858,1,0.847457627118644
iot,2520,161,1,0.03968253968253968
iot,2520,178,2,0.07936507936507936
iot,2520,309,2,0.07936507936507936
iot,2520,342,1,0.03968253968253968
iot,2520,386,1,0.03968253968253968
iot,2520,422,1,0.03968253968253968
iot,2520,497,1,0.03968253968253968
iot,2520,693,1,0.03968253968253968
iot,2520,750,1,0.03968253968253968
iot,2520,772,1,0.03968253968253968
iot,2520,784,1,0.03968253968253968
iot,2520,791,1,0.03968253968253968
iot,2520,803,1,0.03968253968253968
iot,2520,836,3,0.11904761904761905
iot,2520,843,4,0.15873015873015872
iot,2520,857,1,0.03968253968253968
iot,2520,971,6,0.2380952380952381
iot,2520,1031,7,0.2777777777777778
iot,2520,1035,4,0.15873015873015872
iot,2520,1061,1,0.03968253968253968
iot,2520,1065,1,0.03968253968253968
iot,2520,1093,1,0.03968253968253968
iot,2520,1096,1,0.03968253968253968
iot,2520,1097,1,0.03968253968253968
iot,2520,1271,1,0.03968253968253968
iot,2520,1273,3,0.11904761904761905
